numero,fecha_vista,titulo,director,anio_estreno,pais_origen,visto_antes,revision_2026,confianza,nota
52,2026-03-12,El extraño viaje,Fernando Fernán Gómez,1964,España,No,No,A,
53,2026-03-13,Fargo,"Joel Coen, Ethan Coen",1996,USA,No,No,A,
54,2026-03-14,The Greatest Showman,Michael Gracey,2017,USA,No,No,A,
55,2026-03-14,El tema del verano,Pablo Stoll,2024,Uruguay / Argentina / Chile,No,No,A,
56,2026-03-14,Bring Her Back,"Danny Philippou, Michael Philippou",2025,Australia,No,Sí (2/2),A,revisión de #1
57,2026-03-15,Bacurau,"Kleber Mendonça Filho, Juliano Dornelles",2019,Brasil,No,No,A,
58,2026-03-15,Talk to Me,"Danny Philippou, Michael Philippou",2022,Australia,Sí (2023),No,A,
59,2026-03-16,Late Night with the Devil,"Cameron Cairnes, Colin Cairnes",2023,Australia,No,No,A,
60,2026-03-19,Don't Die: The Man Who Wants to Live Forever,Bryce Dallas Howard,2025,USA,No,No,A,
61,2026-03-20,Nuestra tierra,Lucrecia Martel,2025,Argentina,No,No,A,documental
62,2026-03-21,The Vanishing (Spoorloos),George Sluizer,1988,Países Bajos / Francia,No,No,A,
63,2026-03-21,The Running Man,Edgar Wright,2025,USA,No,No,A,
64,2026-03-22,All the President's Men,Alan J. Pakula,1976,USA,No,No,A,
65,2026-03-22,Top Secret!,"Jim Abrahams, David Zucker, Jerry Zucker",1984,USA,No,No,A,
66,2026-03-24,Scream 7,Kevin Williamson,2026,USA,No,No,A,
67,2026-03-24,The Running Man,Paul Michael Glaser,1987,USA,No,No,A,
68,2026-03-28,The Boondock Saints,Troy Duffy,1999,USA,No,No,A,
69,2026-03-29,F1,Joseph Kosinski,2025,USA,No,No,A,
70,2026-03-29,Burn After Reading,"Joel Coen, Ethan Coen",2008,USA,No,No,A,
71,2026-03-29,Send Help,Sam Raimi,2026,USA,No,No,A,
72,2026-03-30,The Amazing Transplant,Doris Wishman,1970,USA,No,No,A,
73,2026-03-30,Promising Young Woman,Emerald Fennell,2020,Reino Unido / USA,Sí (2021),No,A,
74,2026-04-02,Eating Raoul,Paul Bartel,1982,USA,Sí (2021),No,A,
75,2026-04-09,La H,Nicanor Loreti,2011,Argentina,Sí (2023),No,A,documental sobre Hermética
76,2026-04-10,Lord of War,Andrew Niccol,2005,USA,No,No,A,
77,2026-04-11,La Ciénaga,Lucrecia Martel,2001,Argentina,Sí (2021),No,A,
78,2026-04-16,El otro hermano,Israel Adrián Caetano,2017,Argentina,No,No,A,
79,2026-04-17,Source Code,Duncan Jones,2011,USA,Sí (2018),No,A,
80,2026-04-18,A Real Pain,Jesse Eisenberg,2024,USA / Polonia,No,No,A,
81,2026-04-19,31,Rob Zombie,2016,USA,No,No,A,
82,2026-04-19,Rough Night,Lucia Aniello,2017,USA,No,No,A,
83,2026-04-23,En retirada,Juan Carlos Desanzo,1984,Argentina,No,No,A,
84,2026-04-25,Ready or Not,"Matt Bettinelli-Olpin, Tyler Gillett",2019,USA / Canadá,No,No,A,'Ready or bot'
85,2026-04-26,Thank You for Smoking,Jason Reitman,2005,USA,No,No,A,
86,2026-04-26,Carrie,Brian De Palma,1976,USA,Sí (2025),No,A,
87,2026-04-30,Yiya Murano: muerte a la hora del té,Alejandro Hartmann,2026,Argentina,No,No,A,documental Netflix
88,2026-05-01,Medianeras,Gustavo Taretto,2011,Argentina,No,No,A,
89,2026-05-02,2073,Asif Kapadia,2024,Reino Unido / USA,No,No,A,
90,2026-05-02,Anaconda,Tom Gormican,2025,USA,Sí (2025),No,A,remake con Jack Black y Paul Rudd
91,2026-05-03,Tenacious D in The Pick of Destiny,Liam Lynch,2006,USA,No,No,A,
92,2026-05-04,Últimos días de la víctima,Adolfo Aristarain,1982,Argentina,Sí (2019),No,A,
93,2026-05-06,La parte del león,Adolfo Aristarain,1978,Argentina,Sí (2022),No,A,
94,2026-05-09,Den of Thieves 2: Pantera,Christian Gudegast,2025,USA,No,No,A,
95,2026-05-09,Carrie,Kimberly Peirce,2013,USA,Sí (2025),No,A,
96,2026-05-10,Lenny,Bob Fosse,1974,USA,No,No,A,
97,2026-05-13,Traslados,Nicolás Gil Lavedra,2024,Argentina,No,No,A,documental
98,2026-05-15,Fase 7,Nicolás Goldbart,2011,Argentina,Sí (2020),No,A,
99,2026-05-16,The Taking of Pelham One Two Three,Joseph Sargent,1974,USA,No,No,A,
100,2026-05-16,Tin Soldier,Brad Furman,2025,USA,No,No,A,
101,2026-05-16,Magnolia,Paul Thomas Anderson,1999,USA,No,No,A,
102,2026-05-17,Death Becomes Her,Robert Zemeckis,1992,USA,No,No,A,
103,2026-05-17,The Curious Case of Benjamin Button,David Fincher,2008,USA,No,No,A,
104,2026-05-20,Moebius,Gustavo Mosquera R.,1996,Argentina,No,No,A,
105,2026-05-22,The Star Chamber,Peter Hyams,1983,USA,No,No,A,
106,2026-05-23,Goodfellas,Martin Scorsese,1990,USA,Sí (2020),No,A,"fecha original decía 23/06, asumo 23/05"
107,2026-05-24,Christine,John Carpenter,1983,USA,Sí (2025),No,A,
108,2026-05-25,The Taking of Pelham 123,Tony Scott,2009,USA,Sí (2020),No,A,
109,2026-05-25,Hannibal,Ridley Scott,2001,USA,No,No,A,
110,2026-05-28,Time Lapse,Bradley King,2014,USA,No,No,A,
111,2026-05-29,Un lugar en el mundo,Adolfo Aristarain,1992,Argentina / Uruguay / España,No,No,A,
112,2026-05-30,Desearás al hombre de tu hermana,Diego Kaplan,2017,Argentina,Sí (2018),No,A,
113,2026-05-31,No Way Out,Roger Donaldson,1987,USA,No,No,A,
114,2026-05-31,The Bride!,Maggie Gyllenhaal,2026,USA,No,No,A,con Jessie Buckley y Christian Bale
115,2026-06-01,¿Quién puede matar a un niño?,Narciso Ibáñez Serrador,1976,España,Sí (2018),No,A,
116,2026-06-05,Twins,Ivan Reitman,1988,USA,Sí (2019),No,A,
117,2026-06-06,DodgeBall: A True Underdog Story,Rawson Marshall Thurber,2004,USA,No,No,A,
118,2026-06-06,John Wick,Chad Stahelski,2014,USA,Sí (2019),No,A,
119,2026-06-07,Inside Man,Spike Lee,2006,USA,No,No,A,
120,2026-06-07,Ladies First,Thea Sharrock,2026,USA,No,No,A,comedia Netflix con Sacha Baron Cohen
121,2026-06-07,The Royal Tenenbaums,Wes Anderson,2001,USA,No,No,A,
122,2026-06-10,Blood Simple,"Joel Coen, Ethan Coen",1984,USA,No,No,A,
123,2026-06-11,El vampiro negro,Román Viñoly Barreto,1953,Argentina,No,No,A,
124,2026-06-11,John Wick: Chapter 2,Chad Stahelski,2017,USA,Sí (2019),No,A,
125,2026-06-12,Mortal Kombat,Simon McQuoid,2021,USA,Sí (2019),No,A,
126,2026-06-13,It Follows,David Robert Mitchell,2014,USA,No,No,A,
127,2026-06-13,Arrebato,Iván Zulueta,1979,España,No,No,A,
128,2026-06-13,John Wick: Chapter 3 – Parabellum,Chad Stahelski,2019,USA,No,No,A,
129,2026-06-14,They Will Kill You,Kirill Sokolov,2026,USA,No,No,A,
130,2026-06-14,Mortal Kombat II,Simon McQuoid,2026,USA / Australia,No,No,A,
131,2026-06-14,John Wick: Chapter 4,Chad Stahelski,2023,USA,No,No,A,
132,2026-06-14,The 40-Year-Old Virgin,Judd Apatow,2005,USA,No,No,A,'40 year old Virginia'
133,2026-06-15,Vampire humaniste cherche suicidaire consentant,Ariane Louis-Seize,2023,Canadá,No,No,A,
134,2026-06-18,50/50,Jonathan Levine,2011,USA,No,No,A,
135,2026-06-20,Ghost World,Terry Zwigoff,2001,USA / Reino Unido / Alemania,No,No,A,
136,2026-06-21,Foul Play,Colin Higgins,1978,USA,No,No,A,
137,2026-06-24,The Hunt,Craig Zobel,2020,USA,Sí (2021),No,A,
138,2026-06-27,Mortal Kombat,Paul W. S. Anderson,1995,USA,Sí (2019),No,A,
139,2026-06-27,Undercover Brother,Malcolm D. Lee,2002,USA,No,No,A,
140,2026-06-28,"Soñar, soñar",Leonardo Favio,1976,Argentina,No,No,A,
141,2026-07-03,Weekend at Bernie's,Ted Kotcheff,1989,USA,No,No,A,
142,2026-07-04,Mortal Kombat: Annihilation,John R. Leonetti,1997,USA,No,No,A,
143,2026-07-05,Equilibrium,Kurt Wimmer,2002,USA,No,No,A,
144,2026-07-05,Shampoo,Hal Ashby,1975,USA,No,No,A,
145,2026-07-09,Mikey and Nicky,Elaine May,1976,USA,No,No,A,
146,2026-07-09,Bunny Lake Is Missing,Otto Preminger,1965,Reino Unido,No,No,A,
147,2026-07-09,Michael,Antoine Fuqua,2026,USA,No,No,A,biopic de Michael Jackson
148,2026-07-10,Ready or Not 2: Here I Come,"Matt Bettinelli-Olpin, Tyler Gillett",2026,USA,No,No,A,
149,2026-07-11,Backrooms,Kane Parsons,2026,USA,No,No,A,película A24
150,2026-07-12,Antiviral,Brandon Cronenberg,2012,Canadá,No,No,A,
151,2026-07-14,El partido,"Juan Cabral, Santiago Franco",2026,Argentina,No,No,A,doc sobre Argentina-Inglaterra 1986
152,2026-07-17,Let the Corpses Tan (Laissez bronzer les cadavres),"Hélène Cattet, Bruno Forzani",2017,Bélgica / Francia,No,No,A,
153,2026-07-18,Django Unchained,Quentin Tarantino,2012,USA,Sí (2019),No,A,
154,2026-07-18,16 Blocks,Richard Donner,2006,USA / Alemania,Sí (2022),No,A,
155,2026-07-19,The Departed,Martin Scorsese,2006,USA,Sí (2020),No,A,
156,2026-07-21,A Nightmare on Elm Street,Wes Craven,1984,USA,No,No,A,
157,2026-07-22,But I'm a Cheerleader,Jamie Babbit,1999,USA,No,No,A,
158,2026-07-23,Sleepers,Barry Levinson,1996,USA,No,No,A,
159,2026-07-23,Misery,Rob Reiner,1990,USA,No,No,A,
160,2026-07-24,Internal Affairs,Mike Figgis,1990,USA,No,No,A,
161,2026-07-25,Razorback,Russell Mulcahy,1984,Australia,No,No,A,
162,2026-07-25,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,2020,USA,No,No,A,
163,2026-07-26,Nineteen Eighty-Four,Michael Radford,1984,Reino Unido,No,No,A,
164,2026-07-26,The Sheep Detectives,Kyle Balda,2026,USA,No,No,A,basada en 'Three Bags Full' de Leonie Swann; guion de Craig Mazin
165,2026-07-26,Scary Movie 6,Michael Tiddes,2026,USA,No,No,A,reboot de los Wayans
166,2026-07-28,Los jóvenes viejos,Rodolfo Kuhn,1962,Argentina,No,No,A,
167,2026-07-28,A Nightmare on Elm Street 2: Freddy's Revenge,Jack Sholder,1985,USA,No,No,A,
168,2026-08-01,Obsession,Brian De Palma,1976,USA,No,No,A,
169,2026-08-05,Electra Glide in Blue,James William Guercio,1973,USA,No,No,A,
170,2026-08-06,A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987,USA,No,No,A,
171,2026-08-07,Edmond,Stuart Gordon,2005,USA,No,No,A,
172,2026-08-07,Deuce Bigalow: European Gigolo,Mike Bigelow,2005,USA / Países Bajos,No,No,A,
173,2026-08-08,La dicha en movimiento,Maxi Gutiérrez,2025,Argentina,No,No,A,
174,2026-08-08,A Nightmare on Elm Street 4: The Dream Master,Renny Harlin,1988,USA,No,No,A,
175,2026-08-09,A Nightmare on Elm Street 5: The Dream Child,Stephen Hopkins,1989,USA,No,No,A,
176,2026-08-13,Fatal Attraction,Adrian Lyne,1987,USA,No,No,A,
177,2026-08-14,Not Another Teen Movie,Joel Gallen,2001,USA,No,No,A,registrado como 'Not another american movie'
178,2026-08-14,Freddy's Dead: The Final Nightmare,Rachel Talalay,1991,USA,No,No,A,
179,2026-08-14,Thief,Michael Mann,1981,USA,No,No,A,
180,2026-08-15,The Warriors,Walter Hill,1979,USA,No,No,A,
181,2026-08-15,Wes Craven's New Nightmare,Wes Craven,1994,USA,No,No,A,
182,2026-08-15,The Hot Chick,Tom Brady,2002,USA,No,No,A,
183,2026-08-16,Rolling Thunder,John Flynn,1977,USA,No,No,A,
184,2026-08-16,Tiempo de valientes,Damián Szifrón,2005,Argentina,No,No,A,
185,2026-08-17,Freddy vs. Jason,Ronny Yu,2003,USA / Canadá / Italia,No,No,A,
186,2026-08-17,Boogie Nights,Paul Thomas Anderson,1997,USA,No,No,A,
187,2026-08-17,X,Ti West,2022,USA,Sí (2022),No,A,
188,2026-08-19,A Nightmare on Elm Street,Samuel Bayer,2010,USA,No,No,A,remake
189,2026-08-20,Dawn of the Dead,Zack Snyder,2004,USA / Canadá / Japón,Sí (2018),No,A,asumo que te referías a #189
190,2026-08-21,Would You Rather,David Guy Levy,2012,USA,No,No,A,
191,2026-08-21,Pearl,Ti West,2022,USA / Canadá,Sí (2023),No,A,
192,2026-08-22,Experiment in Terror,Blake Edwards,1962,USA,No,No,A,
193,2026-08-22,Fritz the Cat,Ralph Bakshi,1972,USA,No,No,A,
194,2026-08-27,Eyes Without a Face (Les yeux sans visage),Georges Franju,1960,Francia / Italia,No,No,A,
195,2026-08-28,Perdita Durango,Álex de la Iglesia,1997,España / México / USA,No,No,A,
196,2026-08-30,Barreda,Daniela Goggi,2026,Argentina,No,No,A,
197,2026-08-31,Vampyros Lesbos,Jesús Franco,1971,Alemania Occidental / España,No,No,A,
198,2026-09-01,MaXXXine,Ti West,2024,USA,No,No,A,
199,2026-09-03,Super Troopers,Jay Chandrasekhar,2001,USA,No,No,A,
200,2026-09-04,The Rocky Horror Picture Show,Jim Sharman,1975,Reino Unido / USA,Sí (2018),No,A,
201,2026-09-05,A History of Violence,David Cronenberg,2005,USA / Alemania,No,No,A,registrada como 'A violent story'
202,2026-09-05,Magic,Richard Attenborough,1978,USA,No,No,A,
203,2026-09-06,Hausu (House),Nobuhiko Ôbayashi,1977,Japón,No,No,A,
