id,numero,titulo,director,anio_estreno,pais_origen,fecha_vista,anio_visto,es_revisionado,estado_enriquecimiento,fuente
P0090-1,90,Crazy stupid love,"Glenn Ficarra, John Requa",2011,USA,2026-08-26,2025,No,Migrada,CSV historico
P0091-1,91,Bob Marley: one love,Reinaldo Marcus Green,2024,USA/Jamaica,2026-08-29,2025,No,Migrada,CSV historico
P0092-2,92,Black Swan,Darren Aronofsky,2011,USA,2026-09-02,2025,Si,Migrada,CSV historico
P0093-1,93,Monkey Man,Dev Patel,2011,USA/Canada/India,2026-09-04,2025,No,Migrada,CSV historico
P0094-1,94,Raw,Julia Ducournau,2016,Francia,2026-09-05,2025,No,Migrada,CSV historico
P0095-2,95,The lighthouse,Robert Eggers,2019,USA/Canada,2026-09-06,2025,Si,Migrada,CSV historico
P0096-1,96,The monkey,Oz Perkins,2025,USA,2026-09-07,2025,No,Migrada,CSV historico
P0097-1,97,Los gatos,Carlos Borcosque,1986,Argentina,2026-09-08,2025,No,Migrada,CSV historico
P0098-1,98,Problem child,Dennis Dugan,1990,USA,2026-09-09,2025,No,Migrada,CSV historico
P0099-2,99,12 angry men,Sidney Lumet,1957,USA,2026-09-12,2025,Si,Migrada,CSV historico
P0100-3,100,Us,Jordan Peele,2019,USA,2026-09-12,2025,Si,Migrada,CSV historico
P0101-1,101,Mágic in the moonlight,Woody Allen,2014,USA,2026-09-13,2025,No,Migrada,CSV historico
P0102-1,102,Weapons,Zach Cregger,2025,USA,2026-09-14,2025,No,Migrada,CSV historico
P0103-1,103,Rashomon,Akira Kurosawa,1950,Japon,2026-09-16,2025,No,Migrada,CSV historico
P0104-1,104,Before the Devil Knows You're Dead,Sidney Lumet,2007,USA,2026-09-18,2025,No,Migrada,CSV historico
P0105-2,105,Barbarian,Zach Cregger,2022,USA,2026-09-19,2025,Si,Migrada,CSV historico
P0106-1,106,Gatillero,Cristian Tapia Marchiori,2025,Argentina,2026-09-20,2025,No,Migrada,CSV historico
P0107-1,107,Belen,Dolores Fonzi,2025,Argentina,2026-09-20,2025,No,Migrada,CSV historico
P0108-1,108,Avatar,James Cameron,2009,USA,2026-09-20,2025,No,Migrada,CSV historico
P0109-1,109,Kung fu panda,"Mark Osborne,John Wayne Stevenson",2008,USA,2026-09-21,2025,No,Migrada,CSV historico
P0110-1,110,Colossal,Nacho Vigalondo,2016,Canada/España,2026-09-27,2025,No,Migrada,CSV historico
P0111-2,111,Coco,"Lee Unkrich,Adrián Molina",2017,USA,2026-09-27,2025,Si,Migrada,CSV historico
P0112-1,112,Humane,Caitlin Cronenberg,2024,Canada/Belgica,2026-09-27,2025,No,Migrada,CSV historico
P0113-1,113,Blondi,Dolores Fonzi,2023,Argentina,2026-09-28,2025,No,Migrada,CSV historico
P0114-1,114,Jurasic Park,Steven Spielberg,1993,USA,2026-09-29,2025,No,Migrada,CSV historico
P0115-1,115,One battle after a other,Paul Thomas Anderson,2025,USA,2026-10-03,2025,No,Migrada,CSV historico
P0116-1,116,Great balls of fire,Jim McBride,1989,USA,2026-10-04,2025,No,Migrada,CSV historico
P0117-1,117,Modern Romance,Albert Brooks,1981,USA,2026-10-05,2025,No,Migrada,CSV historico
P0118-1,118,Christine,Antonio Campos,2016,USA,2026-10-06,2025,Si,Migrada,CSV historico
P0119-1,119,Devo,Chris Smith,2024,USA/UK,2026-10-09,2025,No,Migrada,CSV historico
P0120-1,120,Wicked,Jon M. Chu,2024,USA/UK,2026-10-10,2025,No,Migrada,CSV historico
P0121-1,121,Scott Pilgrim,Edgar Wright,2010,USA,2026-10-11,2025,No,Migrada,CSV historico
P0122-3,122,The last boy scout,Tony Scott,1991,USA,2026-10-12,2025,Si,Migrada,CSV historico
P0123-1,123,Last action hero,John McTiernan,1993,USA,2026-10-14,2025,No,Migrada,CSV historico
P0124-1,124,Bedazzled,Harold Ramis,2000,USA,2026-10-17,2025,No,Migrada,CSV historico
P0125-1,125,Borat,Larry Charles,2006,USA,2026-10-17,2025,No,Migrada,CSV historico
P0126-1,126,Liar liar,Tom Shadyac,1997,USA,2026-10-18,2025,No,Migrada,CSV historico
P0127-1,127,Tango y cash,"Andréi Konchalovski, Albert Magnoli",1989,USA,2026-10-19,2025,No,Migrada,CSV historico
